artworkTitle,tracker,genre,artistName,artistURL,artistBio,birth,death,Nationality,pointYear,stack,artworkURL,artworkIMG,artworkShape,,
The Huntsman,68,Cubism,Henri Le Fauconnier,https://www.moma.org/artists/3427,"(French, 1881-1946)",1881,1946,(French),1912,5,https://www.moma.org/collection/works/79856,https://www.moma.org/media/W1siZiIsIjE2NjkwNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=8dcc8c6b179727de,vert,,
Still Life with Lamp,69,Cubism,Jean Metzinger,https://www.moma.org/artists/3947,"(French, 1883-1956)",1883,1956,(French),1916,5,https://www.moma.org/collection/works/79634,https://www.moma.org/media/W1siZiIsIjE3Njk4NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=b28cbadd1cfacea0,vert,,
Still Life with Flowers,70,Cubism,Juan Gris,https://www.moma.org/artists/2349,"(Spanish, 1887-1927)",1887,1927,(Spanish),1912,5,https://www.moma.org/collection/works/78930,https://www.moma.org/media/W1siZiIsIjE2MDUyNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=0b5ef88136e7b7e7,vert,,
Windows,71,Cubism,Robert Delaunay,https://www.moma.org/artists/1479,"(French, 1885-1941)",1885,1941,(French),1912,5,https://www.moma.org/collection/works/80024,https://www.moma.org/media/W1siZiIsIjE1MDE5NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=2b25e74cf9e47bb6,vert,,
Rotoreliefs (Optical Disks),72,Dadaism,Marcel Duchamp,https://www.moma.org/artists/1634,"(American, born France. 1887-1968)",1887,1968,(American),1935,5,https://www.moma.org/collection/works/217892,https://www.moma.org/media/W1siZiIsIjM4ODEyNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=f24a48758a754b12,vert,,
The Passage from Virgin to Bride,73,Dadaism,Marcel Duchamp,https://www.moma.org/artists/1634,"(American, born France. 1887-1968)",1887,1968,(American),1912,5,https://www.moma.org/collection/works/79044,https://www.moma.org/media/W1siZiIsIjQ3NjkwNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=105b71c4ce7c6dc8,vert,,
Bicycle Wheel,74,Dadaism,Marcel Duchamp,https://www.moma.org/artists/1634,"(American, born France. 1887-1968)",1887,1968,(American),1951,5,https://www.moma.org/collection/works/81631,https://www.moma.org/media/W1siZiIsIjE2NTQ4MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=0d70070ba05bfb22,vert,,
Ptolemy I,75,Dadaism,Jean (Hans) Arp,https://www.moma.org/artists/11,"(French, born Germany (Alsace). 1886-1966)",1886,1966,(French),1953,5,https://www.moma.org/collection/works/81496,https://www.moma.org/media/W1siZiIsIjI1MTg5MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=a159dc266182409b,vert,,
Plate from The Sailboat in the Forest,76,Dadaism,Jean (Hans) Arp,https://www.moma.org/artists/11,"(French, born Germany (Alsace). 1886-1966)",1886,1966,(French),1957,5,https://www.moma.org/collection/works/15049,https://www.moma.org/media/W1siZiIsIjUxMjg0NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=baabb69a790a2630,vert,,
The Crystal,77,Dadaism,Jean (Hans) Arp,https://www.moma.org/artists/11,"(French, born Germany (Alsace). 1886-1966)",1886,1966,(French),1939,5,https://www.moma.org/collection/works/81739,https://www.moma.org/media/W1siZiIsIjIwOTIxMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=2e2a4d116fd9464c,horz,,
Fuel Pump (Pompe à combustible),78,Dadaism,Francis Picabia,https://www.moma.org/artists/4607,"(French, 1879-1953)",1879,1953,(French),1922,5,https://www.moma.org/collection/works/33814,https://www.moma.org/media/W1siZiIsIjUyNzc3NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=5d66065ccb95a7f5,vert,,
Comic Wedlock,79,Dadaism,Francis Picabia,https://www.moma.org/artists/4607,"(French, 1879-1953)",1879,1953,(French),1914,5,https://www.moma.org/collection/works/80656,https://www.moma.org/media/W1siZiIsIjI0MzcwMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=e45bc03db767fe07,vert,,
M'Amenez-y,80,Dadaism,Francis Picabia,https://www.moma.org/artists/4607,"(French, 1879-1953)",1879,1953,(French),1919,5,https://www.moma.org/collection/works/38561,https://www.moma.org/media/W1siZiIsIjMzNjY1MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=fa4dcfd803bbb225,vert,,
The Spring,81,Dadaism,Francis Picabia,https://www.moma.org/artists/4607,"(French, 1879-1953)",1879,1953,(French),1912,5,https://www.moma.org/collection/works/80658,https://www.moma.org/media/W1siZiIsIjQ4MTgxMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=b71f9d228a57ecae,horz,,
Merz Picture 32 A. The Cherry Picture,82,Dadaism,Kurt Schwitters,https://www.moma.org/artists/5293,"(German, 1887-1948)",1887,1948,(German),1921,5,https://www.moma.org/collection/works/33356,https://www.moma.org/media/W1siZiIsIjEyODU2NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=5c7b84981698bf83,vert,,
Untitled (With Black Rectangle),83,Dadaism,Kurt Schwitters,https://www.moma.org/artists/5293,"(German, 1887-1948)",1887,1948,(German),1925,5,https://www.moma.org/collection/works/35518,https://www.moma.org/media/W1siZiIsIjcwNzQ3Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMTAyNHgxMDI0XHUwMDNlIl1d.jpg?sha=b3dcfa44964bee55,vert,,
Gift,84,Surrealism,Man Ray (Emmanuel Radnitzky),https://www.moma.org/artists/3716,"(American, 1890-1976)",1890,1976,(American),1958,1,https://www.moma.org/collection/works/81212,https://www.moma.org/media/W1siZiIsIjIyOTAyMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=10cb1f5702281aa5,vert,,
Orchestra from Revolving Doors,85,Surrealism,Man Ray (Emmanuel Radnitzky),https://www.moma.org/artists/3716,"(American, 1890-1976)",1890,1976,(American),1926,1,https://www.moma.org/collection/works/68234,https://www.moma.org/media/W1siZiIsIjIxODUyOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=ddb2f71607d9159e,vert,,
Jacqueline,86,Surrealism,Man Ray (Emmanuel Radnitzky),https://www.moma.org/artists/3716,"(American, 1890-1976)",1890,1976,(American),1930,1,https://www.moma.org/collection/works/47349,https://www.moma.org/media/W1siZiIsIjIzMjMyOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=ca70b693bc0f593a,vert,,
The King Playing with the Queen ,87,Surrealism,Max Ernst,https://www.moma.org/artists/1752,"(French and American, born Germany. 1891-1976)",1891,1976,(French),1944,1,https://www.moma.org/collection/works/81359,https://www.moma.org/media/W1siZiIsIjIyOTI4NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=551a86c264a01e59,vert,,
The Nymph Echo ( La Nymphe Écho),88,Surrealism,Max Ernst,https://www.moma.org/artists/1752,"(French and American, born Germany. 1891-1976)",1891,1976,(French),1936,1,https://www.moma.org/collection/works/79316,https://www.moma.org/media/W1siZiIsIjIxMDkyMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=309f2567bd6ff0d3,horz,,
Napoleon in the Wilderness,89,Surrealism,Max Ernst,https://www.moma.org/artists/1752,"(French and American, born Germany. 1891-1976)",1891,1976,(French),1941,1,https://www.moma.org/collection/works/78423,https://www.moma.org/media/W1siZiIsIjUxNzQzMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=011fe05f092c6467,vert,,
Two Figures (Deux figures),90,Surrealism,Max Ernst,https://www.moma.org/artists/1752,"(French and American, born Germany. 1891-1976)",1891,1976,(French),1950,1,https://www.moma.org/collection/works/64757,https://www.moma.org/media/W1siZiIsIjE2Mjc0NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=3c91b1d6c5d62c46,horz,,
Lee Miller,91,Surrealism,Man Ray (Emmanuel Radnitzky),https://www.moma.org/artists/3716,"(American, 1890-1976)",1890,1976,(American),1929,1,https://www.moma.org/collection/works/46890,https://www.moma.org/media/W1siZiIsIjUxNzI2NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=80ee3e3c9de0b40e,vert,,
Rayograph,92,Surrealism,Man Ray (Emmanuel Radnitzky),https://www.moma.org/artists/3716,"(American, 1890-1976)",1890,1976,(American),1924,1,https://www.moma.org/collection/works/46621,https://www.moma.org/media/W1siZiIsIjUxNzI1MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=d5ea0b934d01be7f,vert,,
Indestructible Object (or Object to Be Destroyed),93,Surrealism,Man Ray (Emmanuel Radnitzky),https://www.moma.org/artists/3716,"(American, 1890-1976)",1890,1976,(American),1964,1,https://www.moma.org/collection/works/81209,https://www.moma.org/media/W1siZiIsIjIxMDg3OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=499f8969e6c517df,vert,,
Chess Set,94,Surrealism,Man Ray (Emmanuel Radnitzky),https://www.moma.org/artists/3716,"(American, 1890-1976)",1890,1976,(American),1926,1,https://www.moma.org/collection/works/2807,https://www.moma.org/media/W1siZiIsIjI1Mjc1OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=9d8ac151caf39fee,horz,,
An Anxious Friend (Un ami empressé),95,Surrealism,Max Ernst,https://www.moma.org/artists/1752,"(French and American, born Germany. 1891-1976)",1891,1976,(French),1944,1,https://www.moma.org/collection/works/81615,https://www.moma.org/media/W1siZiIsIjIzMDM2NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=634222d48a06bb7f,vert,,
Free Form,96,Abstract Expressionism,Jackson Pollock,https://www.moma.org/artists/4675,"(American, 1912-1956)",1912,1956,(American),1946,2,https://www.moma.org/collection/works/80170,https://www.moma.org/media/W1siZiIsIjQ5MDIzOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=ab5683f0c21bf788,vert,,
White Light,97,Abstract Expressionism,Jackson Pollock,https://www.moma.org/artists/4675,"(American, 1912-1956)",1912,1956,(American),1954,2,https://www.moma.org/collection/works/79481,https://www.moma.org/media/W1siZiIsIjI5ODczNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=4551268d34dc5e12,vert,,
No. 10,98,Abstract Expressionism,Mark Rothko,https://www.moma.org/artists/5047,"(American, born Russia (now Latvia). 1903-1970)",1903,1970,(American),1950,2,https://www.moma.org/collection/works/78594,https://www.moma.org/media/W1siZiIsIjE3OTMzMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=9cc4b30989d481b2,vert,,
Untitled,99,Abstract Expressionism,Mark Rothko,https://www.moma.org/artists/5047,"(American, born Russia (now Latvia). 1903-1970)",1903,1970,(American),1968,2,https://www.moma.org/collection/works/37042,https://www.moma.org/media/W1siZiIsIjM0NjMzMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=7bb46fc48c5506ca,vert,,
Woman I,100,Abstract Expressionism,Willem de Kooning,https://www.moma.org/artists/3213,"(American, born the Netherlands. 1904-1997)",1904,1997,(American),1952,2,https://www.moma.org/collection/works/79810,https://www.moma.org/media/W1siZiIsIjQ3NjYxNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=4c14dca7d7a2facf,vert,,
Composition,101,Abstract Expressionism,Adolph Gottlieb,https://www.moma.org/artists/2268,"(American, 1903-1974)",1903,1974,(American),1955,2,https://www.moma.org/collection/works/80550,https://www.moma.org/media/W1siZiIsIjUxOTgxOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=d1e0a99a57e593eb,vert,,
Argula,102,Abstract Expressionism,Arshile Gorky,https://www.moma.org/artists/2252,"(American, born Ottoman Empire. c. 1904-1948)",1904,1948,(American),1938,2,https://www.moma.org/collection/works/79748,https://www.moma.org/media/W1siZiIsIjE1NDU0NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=b481430facb29923,horz,,
1951-T No. 3,103,Abstract Expressionism,Clyfford Still,https://www.moma.org/artists/5665,"(American, 1904-1980)",1904,1980,(American),1951,2,https://www.moma.org/collection/works/79371,https://www.moma.org/media/W1siZiIsIjMzMDYxNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=bd7541a9ef01fdc0,vert,,
Drawing related to Painting No. 2,104,Abstract Expressionism,Franz Kline,https://www.moma.org/artists/3148,"(American, 1910-1962)",1910,1962,(American),1954,2,https://www.moma.org/collection/works/283983,https://www.moma.org/media/W1siZiIsIjQzNjMxMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=6253467deb6b0783,horz,,
Phantasy II,105,Abstract Expressionism,Norman Lewis,https://www.moma.org/artists/3524,"(American, 1909-1979)",1909,1979,(American),1946,2,https://www.moma.org/collection/works/79927,https://www.moma.org/media/W1siZiIsIjQ0MTAzNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=e07617d2a8bb6864,horz,,
"Elegy to the Spanish Republic, 108",106,Abstract Expressionism,Robert Motherwell,https://www.moma.org/artists/4126,"(American, 1915-1991)",1915,1991,(American),1967,2,https://www.moma.org/collection/works/79007,https://www.moma.org/media/W1siZiIsIjIwMzkzOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=f55543ad7515fda7,horz,,
Red Mound Number 1,107,Abstract Expressionism,Theodoros Stamos,https://www.moma.org/artists/5597,"(American, 1922-1997)",1922,1997,(American),1964,2,https://www.moma.org/collection/works/80679,https://www.moma.org/media/W1siZiIsIjE3MTMyNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=44b40b39b601ec3f,horz,,
Marilyn Monroe,108,Pop Art,Andy Warhol,https://www.moma.org/artists/6246,"(American, 1928-1987)",1928,1987,(American),1967,3,https://www.moma.org/collection/works/61240,https://www.moma.org/media/W1siZiIsIjcwNjE5Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMTAyNHgxMDI0XHUwMDNlIl1d.jpg?sha=d0905c928cc003ba,vert,,
Untitled from Campbell's Soup I,109,Pop Art,Andy Warhol,https://www.moma.org/artists/6246,"(American, 1928-1987)",1928,1987,(American),1968,3,https://www.moma.org/collection/works/72310,https://www.moma.org/media/W1siZiIsIjI3NTA4MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=b53eae18388a042a,vert,,
Drowning Girl,110,Pop Art,Roy Lichtenstein,https://www.moma.org/artists/3542,"(American, 1923-1997)",1923,1997,(American),1963,3,https://www.moma.org/collection/works/80249,https://www.moma.org/media/W1siZiIsIjIzNzM1NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=53d53e18107d6685,horz,,
Brushstrokes,111,Pop Art,Roy Lichtenstein,https://www.moma.org/artists/3542,"(American, 1923-1997)",1923,1997,(American),1967,3,https://www.moma.org/collection/works/67406,https://www.moma.org/media/W1siZiIsIjI2OTI0NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=87de13294565c77c,horz,,
Untitled,112,Pop Art,Jean-Michel Basquiat,https://www.moma.org/artists/370,"(American, 1960-1988)",1960,1988,(American),1982,3,https://www.moma.org/collection/works/36907,https://www.moma.org/media/W1siZiIsIjI3NDM5MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=306e7e477bbd2056,vert,,
Untitled Film Still #21,113,Pop Art,Cindy Sherman,https://www.moma.org/artists/5392,"(American, born 1954)",1954,2024,(American),1978,3,https://www.moma.org/collection/works/56618,https://www.moma.org/media/W1siZiIsIjQ1MDExOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=f5c20ca6438550a2,horz,,
"Cave-Blue, design for Ubu Roi",114,Pop Art,David Hockney,https://www.moma.org/artists/2678,"(British, born 1937)",1937,2024,(British),1966,3,https://www.moma.org/collection/works/85231,https://www.moma.org/media/W1siZiIsIjE2NjMxNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=a799654efa1bb6d8,horz,,
Portrait in a Silver Frame from A Hollywood Collection,115,Pop Art,David Hockney,https://www.moma.org/artists/2678,"(British, born 1937)",1937,2024,(British),1965,3,https://www.moma.org/collection/works/68902,https://www.moma.org/media/W1siZiIsIjI1Mzc4OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=f6c6a62c7a26061c,vert,,
Lake Placid '80,116,Pop Art,Nam June Paik,https://www.moma.org/artists/4469,"(American, born Korea. 1932-2006)",1932,2006,(American),1980,3,https://www.moma.org/collection/works/118217,https://www.moma.org/media/W1siZiIsIjE1MTYzNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=30e4df3a1c86ef73,vert,,
"Ark, Rauschenberg: XXXIV Drawings for Dante's Inferno",117,Pop Art,Robert Rauschenberg,https://www.moma.org/artists/4823,"(American, 1925-2008)",1925,2008,(American),1964,3,https://www.moma.org/collection/works/72651,https://www.moma.org/media/W1siZiIsIjI3NjU0NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=35234587c082d98b,horz,,
The Couple from Expressionist Woodcuts,118,Pop Art,Roy Lichtenstein,https://www.moma.org/artists/3542,"(American, 1923-1997)",1923,1997,(American),1980,3,https://www.moma.org/collection/works/59859,https://www.moma.org/media/W1siZiIsIjIwODAwMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=69f308dd4bcd16ea,vert,,
Untitled,119,Pop Art,Yayoi Kusama,https://www.moma.org/artists/3315,"(Japanese, born 1929)",1929,2024,(Japanese),1952,3,https://www.moma.org/collection/works/35490,https://www.moma.org/media/W1siZiIsIjIzNDk1NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=8dec56a26ed738d3,vert,,
Ifafa I from the V Series,120,Minimalism,Frank Stella,https://www.moma.org/artists/5640,"(American, 1936-2024)",1936,2024,(American),1968,2,https://www.moma.org/collection/works/74796,https://www.moma.org/media/W1siZiIsIjE0NzQ3OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=03d866bc1b89c656,horz,,
Untitled (Rabat) from X + X,121,Minimalism,Frank Stella,https://www.moma.org/artists/5640,"(American, 1936-2024)",1936,2024,(American),1964,2,https://www.moma.org/collection/works/62793,https://www.moma.org/media/W1siZiIsIjIwNjE4NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=af91aee612643f9d,vert,,
Abra Variation I,122,Minimalism,Frank Stella,https://www.moma.org/artists/5640,"(American, 1936-2024)",1936,2024,(American),1969,2,https://www.moma.org/collection/works/80273,https://www.moma.org/media/W1siZiIsIjE1OTIyOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=f7a8628859d187a2,horz,,
Sidney Guberman from the Purple Series,123,Minimalism,Frank Stella,https://www.moma.org/artists/5640,"(American, 1936-2024)",1936,2024,(American),1972,2,https://www.moma.org/collection/works/73474,https://www.moma.org/media/W1siZiIsIjIwNjQwNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=11125f04359ac1f5,horz,,
Friendship,124,Minimalism,Agnes Martin,https://www.moma.org/artists/3787,"(American, born Canada. 1912-2004)",1912,2004,(American),1963,2,https://www.moma.org/collection/works/79842,https://www.moma.org/media/W1siZiIsIjMxODA5OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=b5c57bdc73b0974c,horz,,
Plate (folio 6) from Pietre Foglie,125,Minimalism,Ana Mendieta and Carl Andre,https://www.moma.org/collection/works/15589,"(American, born Cuba. 1948-1985)",1948,1985,(American) (American),1984,2,https://www.moma.org/collection/works/15598,https://www.moma.org/media/W1siZiIsIjQ3NzQ0MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=46b6f2528e9039c7,vert,,
First Requiem,126,Minimalism,Anne Truitt,https://www.moma.org/artists/5945,"(American, 1921-2004)",1921,2004,(American),1977,2,https://www.moma.org/collection/works/174793,https://www.moma.org/media/W1siZiIsIjQ1NzQwNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=0af070581199fd32,vert,,
Hour Rose,127,Minimalism,Carl Andre,https://www.moma.org/artists/174,"(American, 1935-2024)",1935,2024,(American),1959,2,https://www.moma.org/collection/works/100069,https://www.moma.org/media/W1siZiIsIjI5MDU3NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=cc40eb1562660456,vert,,
Timber Spindle Exercise,128,Minimalism,Carl Andre,https://www.moma.org/artists/174,"(American, 1935-2024)",1935,2024,(American),1964,2,https://www.moma.org/collection/works/81312,https://www.moma.org/media/W1siZiIsIjIwODcwNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=2eca3c8db7df2a41,vert,,
pink out of a corner (to Jasper Johns),129,Minimalism,Dan Flavin,https://www.moma.org/artists/1911,"(American, 1933-1996)",1933,1996,(American),1963,2,https://www.moma.org/collection/works/80892,https://www.moma.org/media/W1siZiIsIjUyMDQ3OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=10e1865d5a94611e,vert,,
Untitled,130,Minimalism,Donald Judd,https://www.moma.org/artists/2948,"(American, 1928-1994)",1928,1994,(American),1967,2,https://www.moma.org/collection/works/81324,https://www.moma.org/media/W1siZiIsIjMxMTkwNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=3b4f060550687cb8,vert,,
"Giufà, la luna, i ladri e le guardie",131,Minimalism,Frank Stella,https://www.moma.org/artists/5640,"(American, 1936-2024)",1936,2024,(American),1984,2,https://www.moma.org/collection/works/81527,https://www.moma.org/media/W1siZiIsIjE2NTgyMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=b35113de2c17dd10,horz,,
"Cubic-Modular Wall Structure, Black",132,Conceptual Art,Sol LeWitt,https://www.moma.org/artists/3528,"(American, 1928-2007)",1928,2007,(American),1966,1,https://www.moma.org/collection/works/81428,https://www.moma.org/media/W1siZiIsIjUyNjc1NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=0b81b526eef04a40,vert,,
Complex Form with Black and White Bands,133,Conceptual Art,Sol LeWitt,https://www.moma.org/artists/3528,"(American, 1928-2007)",1928,2007,(American),1988,1,https://www.moma.org/collection/works/185842,https://www.moma.org/media/W1siZiIsIjMxMDAxNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=3e21dd664b77b0d6,horz,,
Untitled from Composite Series,134,Conceptual Art,Sol LeWitt,https://www.moma.org/artists/3528,"(American, 1928-2007)",1928,2007,(American),1970,1,https://www.moma.org/collection/works/203427,https://www.moma.org/media/W1siZiIsIjIwNTE5OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=a001d6694f31731a,vert,,
Food for the Spirit #8,135,Conceptual Art,Adrian Piper,https://www.moma.org/artists/7017,"(American, born 1948)",1948,2024,(American),1971,1,https://www.moma.org/collection/works/52062,https://www.moma.org/media/W1siZiIsIjE1NjY0MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=da936c0d31589b27,vert,,
Variable Piece #44 / Global,136,Conceptual Art,Douglas Huebler,https://www.moma.org/artists/2749,"(American, 1924-1997)",1924,1997,(American),1971,1,https://www.moma.org/collection/works/116258,https://www.moma.org/media/W1siZiIsIjE0MTkzNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=85f7870616ca0235,horz,,
